Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Швачка,Юхим,Єфремівна,Чоловік,1968.11.27,Історик,селище Зміїв,"площа Мацієвської узвіз, буд. 02 кв. 9, Пирятин, 29971",+380 90 029-71-28,havrylo13@example.org
Дейнека,Камілла,Володимирівна,Жінка,1971.05.27,Лікар,хутір Світловодськ,"шосе Бернардацці, буд. 389, Первомайський , 04625",+380 (08) 159-79-18,vashchukvarfolomii@example.com
Охріменко,Орися,Мстиславович,Жінка,1966.06.11,Фермер,село Герца,"проспект Цегляна, буд. 10, Чернівці, 32937",019 162-40-71,perepelytsiaserhii@example.com
Гаврилець,Варвара,Володиславівна,Жінка,1973.10.27,Кухар,місто Шумськ,"вулиця Ялинковий, буд. 4, Харків, 72352",+380 (93) 330-37-92,bhydenkovasyl@example.net
Ісаєвич,Людмила,Юстиніанівна,Жінка,1998.04.18,Хімік,село Родинське,"вулиця 19-й км Старокиївської дороги, буд. 95 кв. 60, Чоп, 48540",+380 (85) 585-60-91,riabovilonysym@example.org
Затовканюк,Яків,Русланович,Чоловік,1969.07.02,Біолог,село Щастя ,"шосе Садовий, буд. 835 кв. 664, Балаклія, 91901",048 554 37 54,orest37@example.com
Власюк,Гаврило,Аркадіївна,Чоловік,1988.11.12,Соціолог,селище Вашківці,"проспект Болгарська, буд. 424 кв. 051, Берислав, 22256",094 908 78 45,trokhym77@example.net
Талан,Геннадій,Левівна,Чоловік,1998.09.07,Науковець,місто Гірник ,"шосе Раїси Сергієнко, буд. 9, Кам'янка-Бузька, 59536",079 135 55 64,gbaidak@example.net
Хмара,Антон,Альбертівна,Чоловік,1958.01.05,Педагог,селище Щастя ,"вулиця Естонська, буд. 522, Кам'янець-Подільський, 70679",063 561 83 54,stepan60@example.org
Удовиченко,Захар,Семенівна,Чоловік,1973.02.23,Штукатур,село Чуднів,"шосе Зоряна, буд. 7 кв. 539, Глобине, 84268",002 199 40 18,davymukaherman@example.org
Юхименко,Теодор,Антонович,Чоловік,1984.06.29,Головний меркшейдер,селище Коростишів,"узвіз Оборони Ленінграду, буд. 47, Белз, 27947",072 144-17-38,vadymhaidamaka@example.net
Макогон,Едита,Святославівна,Жінка,2002.12.30,Круп'є,село Бориспіль,"парк Восьмого березня 9-й, буд. 2 кв. 88, Корсунь-Шевченківський, 97863",+380 75 635-19-88,tsushkoliliia@example.com
Уманець,Ліза,Іоаннівна,Жінка,1997.10.07,Антрополог,село Червоноград,"узвіз Лиманчик 2-й Лінія 11-та, буд. 154 кв. 743, Гуляйполе, 45949",+380 43 991 60 76,stetsviktor@example.net
Тесленко,Дарина,Вадимівна,Жінка,1964.02.04,Каскадер,село Галич,"провулок Траса Здоров'я, буд. 2 кв. 410, Кодима, 18159",297-34-84,ebevz@example.com
Ткач,Роксолана,Філаретівна,Жінка,1999.01.06,Провізор,хутір Харків,"узвіз Задніпровського, буд. 626, Перечин, 05022",+380 95 833 89 07,liubov50@example.com
Хоменко,Аврелій,Іракліївна,Чоловік,1987.02.19,Модельєр,хутір Ровеньки,"вулиця Олександра Невського 1-й, буд. 8, Яворів, 43598",+380 91 891-15-92,klymentvalenko@example.net
Бездітко,Макар,Анісіївна,Чоловік,1956.10.08,Палеонтолог,хутір Бердичів,"узвіз Скляний 2-й, буд. 881, Боярка, 31230",+380 93 734-22-38,pshylo@example.com
Скиба,Прохір,Аркадіївна,Чоловік,1964.09.07,Патологоанатом,місто Брянка,"площа Сільськогосподарський, буд. 922 кв. 15, Голубівка, 01496",+380 18 591-27-82,imykhailiuk@example.org
Дейнеко,Степан,Єфросинівна,Чоловік,1957.01.04,Зоолог,місто Ржищів,"шосе Катаєва, буд. 44, Очаків, 06303",805 10 21,stanislavatroshchenko@example.com
Дрозд,Антон,Дмитрович,Чоловік,1978.05.13,Архітектор,місто Жашків,"провулок Новикова, буд. 19, Зіньків, 51377",+380 (34) 958-49-33,durdynetsbohuslav@example.net
Вишняк,Альберт,Леонідович,Чоловік,1960.04.12,Реабілітолог,місто Ізмаїл,"сквер Дунаєвського 2-й, буд. 7 кв. 732, Хрустальний, 47654",+380 43 517 46 67,iaremkivliza@example.org
Яремчук,Святослава,Костянтинівна,Жінка,1968.02.23,Євнух,село Покров,"узвіз Ангарська, буд. 33, Нововолинськ, 71963",+380 50 160 82 24,lbarabash@example.net
Удовенко,Єлисавета,Володимирівна,Жінка,1957.10.20,Дизайнер,хутір Пустомити,"набережна Перепечка, буд. 0, Ізюм, 53279",351-80-72,tetiananosachenko@example.org
Тесля,Тереза,Назаріївна,Жінка,1966.03.31,Актор,село Суходільськ,"парк Кузнечна, буд. 640, Кам'янка-Бузька, 74324",+380 69 103-58-44,romanetsprokhir@example.net
Даниленко,Сніжана,Григоріївна,Жінка,1976.03.18,Громадський діяч,місто Черкаси,"сквер Єфімова, буд. 15, Миколаїв, 66380",+380 (32) 561-98-85,azinchuk@example.org
Калениченко,Володимир,Аркадіївна,Чоловік,1981.10.19,Редактор,хутір Павлоград,"вулиця Карпатська, буд. 3, Суми, 45322",+380 60 251 72 57,feofan91@example.com
Самойленко,Степан,Лідійовна,Чоловік,1958.01.20,Адвокат,місто Біла Церква,"узвіз Відважних, буд. 130 кв. 648, Васильків, 98153",188 18 29,atamaniukvira@example.org
Чаленко,Володимир,Даніїлівна,Чоловік,1967.03.28,Редактор,селище Южне,"узвіз Балківська, буд. 28 кв. 791, Брянка, 54891",+380 (54) 975-49-62,irena88@example.com
Андрієвич,Аркадій,Зеновіївна,Чоловік,1994.01.28,Біолог,село Буськ,"провулок Бузкова, буд. 857, Новоукраїнка, 38348",155 77 40,liliiakalenychenko@example.org
Ісаєвич,Петро,Ростиславівна,Чоловік,1995.10.02,Юрист,селище Валки ,"парк Нежданової, буд. 09, Запоріжжя, 79657",+380 32 486 77 73,kyrylokorsun@example.net
Ґерета,Зорян,Мірілівна,Чоловік,1988.08.29,Модель,селище Липовець,"провулок Лиманчик 2-й Лінія 4-та, буд. 5 кв. 3, Южноукраїнськ, 15747",+380 23 779-90-66,fhrechko@example.net
Голик,Ліза,Миронівна,Жінка,1983.05.11,Бухгалтер,місто Сколе,"площа Армійська, буд. 540 кв. 42, Жашків, 04470",+380 13 885-51-69,valeriifartushniak@example.com
Жук,Світлана,Трифонівна,Жінка,1958.10.08,Продюсер,хутір Житомир,"набережна Танкерна, буд. 2 кв. 367, Донецьк, 49242",+380 66 823 87 75,pzhaivoron@example.org
Даценко,Єлисавета,Захарович,Жінка,1975.03.04,Модель,село Джанкой,"провулок Кладовищний, буд. 864 кв. 859, Покровськ, 96435",078 544 89 16,okseniia04@example.net
Зінченко,Данна,Антігонівна,Жінка,1974.11.07,Співак,селище Ровеньки,"узвіз Соляний 6-й, буд. 04, Овруч, 17342",+380 99 127 80 68,orynamatiash@example.org
Яременко,Амвросій,Соломонівна,Чоловік,1963.02.05,Кінорежисер,селище Красноперекопськ,"набережна Середня, буд. 713 кв. 632, Первомайськ, 07338",790-11-60,deinekaprokhir@example.com
Рудик,Гордій,Никифорівна,Чоловік,1998.12.22,Астрофізик,місто Яворів,"парк Рельєфна, буд. 8 кв. 2, Заводське, 29395",365-74-64,varfolomiiabramchuk@example.org
Байрак,Андрій,Сергійович,Чоловік,2007.09.12,Будник,хутір Жашків,"набережна Горбатий міст, буд. 396, Косів, 78789",+380 77 621-14-81,tymchenkohlib@example.org
Вакуленко,Олекса,Марківна,Чоловік,1954.10.16,Кіноактор,село Ржищів,"вулиця Хімічна, буд. 1 кв. 1, Костянтинівка, 64752",+380 54 158 57 89,khrystenkoiukhym@example.net
Єрмоленко,Азар,Олесьович,Чоловік,1985.03.31,Кінолог,хутір Мар'їнка,"провулок Ванцетті, буд. 605, Приморськ (Україна), 53511",006 727-45-26,nataliia90@example.net
Павленко,Олександр,Дмитрович,Чоловік,1982.02.26,Юрист,місто Глобине,"площа Михайла Жванецького, буд. 8 кв. 4, Довжанськ, 74070",+380 19 773-01-08,skyrdaadam@example.org
Литвиненко,Роксолана,Філімонівна,Жінка,1972.10.12,Співак,село Радивилів,"узвіз Амбулаторний 1-й, буд. 675, Сулимівка (Слов'янськ), 20939",002 145-88-37,khorishkomyron@example.net
Жарко,Софія,Єфросинівна,Жінка,1984.08.04,Композитор,село Володимир-Волинський,"вулиця Академіка Гаркавого, буд. 166 кв. 69, Буринь, 27784",567-98-08,olhapetryk@example.com
Литвиненко,Лариса,Казимирівна,Жінка,1972.09.19,Гірничий інженер,хутір Копичинці,"набережна Локомотивний 4-й, буд. 114, Могилів-Подільський, 78913",+380 02 484-79-39,vadym01@example.org
Михайлюк,Ада,Варфоломійович,Жінка,1956.01.28,Кіноактор,село Пирятин,"проспект Виноградний, буд. 84, Костопіль, 52283",+380 78 501-95-73,eduard13@example.org
Давиденко,Симон,Зосимівна,Чоловік,1985.09.06,Фольклорист,хутір Дубровиця,"вулиця Кустанайська, буд. 547, Біла Церква, 70614",500 62 05,qabramchuk@example.net
Гунько,Опанас,Семіонівна,Чоловік,1991.01.16,Пілот,селище Алмазна,"сквер Авіаторів, буд. 2 кв. 4, Кропивницький, 30080",038 616 81 11,iemetsanton@example.net
Ґоляш,Мирослав,Марківна,Чоловік,1952.08.22,Мистецтвознавець,хутір Благовіщенське,"набережна Восьмого Березня Лінія 5-та, буд. 558, Вільнянськ, 57082",040 462 04 49,illia89@example.org
Дейнеко,Ігнат,Соломонівна,Чоловік,1956.07.25,Астрофізик,село Дружківка,"провулок 3-тя Лінія Марії Демченко, буд. 6, Червоноград, 53056",+380 (06) 909-35-29,sliusarzakhar@example.com
Масляк,Мирон,Макарович,Чоловік,2001.01.11,Композитор,селище Золочів,"набережна Аркаса Миколи, буд. 499 кв. 0, Алчевськ, 92554",058 482 06 14,lukian82@example.org
Дубас,Дан,Євстахіївна,Чоловік,2004.03.30,Хореограф,селище Дунаївці,"шосе Проектований 4-й, буд. 2, Узин, 11569",062 233-00-12,ivan24@example.net
Голобородько,Ліза,Ізмаїлівна,Жінка,1968.10.11,Кінорежисер,селище Козятин,"площа 8-ма Лінія Дачі Ковалевського, буд. 6 кв. 65, Новогродівка, 85389",+380 (13) 439-50-24,nmasliak@example.com
Чубай,Святослава,Федорович,Жінка,1971.06.05,Флорист,місто Бережани,"сквер Макова, буд. 30 кв. 83, Білогірськ, 04663",070 493 96 71,dbaran@example.net
Ярема,Орина,Вікторівич,Жінка,1971.05.25,Електромонтажник,село Міусинськ,"вулиця Польський узвіз, буд. 610, Антрацит , 87359",+380 37 827 69 96,bhaievskyi@example.com
Андрійчук,Єлисавета,Несторович,Жінка,1962.11.25,Математик,селище Скалат,"набережна Слєпньова, буд. 53 кв. 9, Пологи , 48265",+380 45 005-76-74,zinchukrozaliia@example.org
Аврамчук,Ігор,Зеновіївна,Чоловік,1975.11.28,Промисловець,хутір Борщів,"шосе Павла Кравцова, буд. 110, Біла Церква, 25302",490-96-01,leontii45@example.net
Хмара,Олександр,Казимирівна,Чоловік,1996.10.05,Фермер,селище Нова Одеса,"узвіз Водопровідний 2-й, буд. 59 кв. 8, Підгайці, 25366",561 87 42,opiatachenko@example.org
Єщенко,Ігор,Ярославівна,Чоловік,1967.12.01,Продюсер,місто Ржищів,"вулиця Мацієвської узвіз, буд. 440, Ясинувата, 03987",+380 31 940-38-23,semen43@example.org
Колесниченко,Андрій,Зеновіївна,Чоловік,1993.12.18,Художник,село Рахів,"вулиця Онілової, буд. 32, Ватутіне, 74090",+380 (02) 716-02-49,kfranchuk@example.com
Мазур,Демид,Анісіївна,Чоловік,1958.11.18,Дерун,селище Славутич,"проспект Короткий, буд. 7 кв. 315, Броди, 89895",004-88-77,onufriienkoliliia@example.org
Адамчук,Вʼячеслав,Климентівна,Чоловік,1973.03.20,Прокурор,місто Перещепине,"шосе Віри Фігнер, буд. 6 кв. 63, Миронівка, 84654",+380 (37) 934-11-68,bohuslavchornovil@example.org
Яремчук,Златослава,Захарівна,Жінка,1963.07.03,Художник,місто Жидачів,"проспект Квітнева, буд. 4 кв. 719, Батурин, 63415",+380 72 063 17 90,viacheslav46@example.org
Дашкевич,Олена,Ізмаїлівна,Жінка,1959.02.25,Режисер,село Амвросіївка,"проспект Уральський, буд. 106 кв. 3, Сновськ, 76770",+380 10 869-62-76,durdynetsorysia@example.net
Давиденко,Данна,Даніїлівна,Жінка,1998.11.19,Пілот,хутір Немирів,"проспект Косовський, буд. 673, Коломия, 99475",986-01-43,fbabiichuk@example.net
Прокопович,Клавдія,Феодорівна,Жінка,1990.08.25,Головний меркшейдер,село Новий Калинів,"вулиця Колонічна, буд. 436, Корсунь-Шевченківський, 62428",322-97-16,heorhiidziuba@example.org
Тимченко,Юхим,Григоріївич,Чоловік,1992.07.22,Ботанік,хутір Зоринськ,"вулиця Тепличний 2-й, буд. 8 кв. 1, Герца, 95362",+380 (74) 729-03-55,dmytromasliak@example.net
Полтавець,Микита,Мінаївна,Чоловік,1965.11.19,Випробувач,місто Південне ,"узвіз Тракторна, буд. 571, П'ятихатки, 34419",406-15-54,dmytro27@example.net
Хомик,Ярослав,Євстахіївна,Чоловік,1968.11.27,Вчитель,місто Радомишль,"узвіз Перлинна, буд. 96, Берестечко, 68857",+380 89 605 97 54,zakusyloteodor@example.net
Пушкар,Назар,Григоріївна,Чоловік,1972.04.12,Бізнесмен,місто Зміїв,"набережна Достоєвського, буд. 4, Лозова , 30553",+380 33 570-96-42,zasukhasolomon@example.com
Тригуб,Демид,Олексіївна,Чоловік,1954.11.04,Мінералог,селище Зимогір'я,"шосе Дмитрія Донського, буд. 27, Заставна, 79740",558-65-80,tcherinko@example.com
Чуприна,Онисим,Єфросинівна,Чоловік,1998.11.23,Громадський діяч,хутір Надвірна,"сквер Новгородський, буд. 43 кв. 90, Верхівцеве, 41598",+380 (75) 319-85-17,jpryimak@example.net
Колісниченко,Валентина,Дорофіївна,Жінка,1982.01.09,Вчитель,хутір Почаїв,"сквер Нескучна, буд. 03, Одеса, 89458",+380 38 016 75 72,lparasiuk@example.com
Кириленко,Наталія,Єфросинівна,Жінка,1956.10.16,Клоун,селище Бершадь,"площа Ползунова 1-й, буд. 822, Перещепине, 25839",+380 89 751-98-94,sabramchuk@example.net
Дейнека,Ада,Мінаївна,Жінка,1957.05.25,Епідеміолог,село Дубно,"сквер Балтський 1-й, буд. 999, Карлівка, 01606",+380 20 817 64 66,havryliukoryna@example.com
Лагода,Оксана,Корнеліївна,Жінка,1963.11.27,Пекар,хутір Верхньодніпровськ,"проспект Миколи Гефта, буд. 25, Городище , 74408",+380 29 550-83-16,valentynaazhazha@example.org
Романчук,Микита,Анісіївна,Чоловік,1967.12.21,Реставратор,селище П'ятихатки,"набережна Артилерійська, буд. 910, Новоград-Волинський, 44637",752 09 03,borysfurs@example.org
Яценюк,Орест,Андронімівна,Чоловік,1964.02.09,Мистецтвознавець,хутір Стебник,"площа Виставочна, буд. 674 кв. 08, Зимогір'я, 21324",+380 75 874-13-56,wgoliash@example.com
Іваничук,Юхим,Назаріївна,Чоловік,2006.04.26,Соціолог,хутір Буча,"проспект Штильова, буд. 24 кв. 29, Чортків, 84260",120-23-36,zarudnyifeofan@example.org
Данько,Захар,Зеновіївна,Чоловік,1991.12.06,Антрополог,селище Старий Крим,"проспект Хлібна гавань, буд. 0 кв. 78, Тернопіль, 65320",088 819 41 81,barantymofii@example.org
Ісаєвич,Віктор,Єфремівна,Чоловік,1981.09.19,Пілот,селище Чорнобиль,"набережна Ползунова 2-й, буд. 1, Ромни, 62430",033 599 24 19,ostapchukkhrystyna@example.com
Гавриш,Лукʼян,Леонідович,Чоловік,1958.03.19,М'ясник,хутір Хрустальний,"парк Романа Кармена, буд. 66 кв. 74, Рогатин, 50808",144 71 69,zakharchenkonadiia@example.net
Вдовенко,Сніжана,Андронімівна,Жінка,1968.07.05,Бізнесмен,село Бахмач,"узвіз Сільська, буд. 7, Донецьк, 08734",+380 61 441-32-02,iaremchukalbert@example.net
Чміль,Анжела,Євстахіївна,Жінка,1958.02.13,Стропальник,село Чигирин,"проспект Яблочкіної, буд. 1 кв. 9, Лозова , 14304",007 650 61 62,holoborodkoartem@example.com
Щербак,Василина,Андронімівна,Жінка,1986.10.09,Бухгалтер,село Токмак,"вулиця Лютневий 1-й, буд. 526, Дубровиця, 45229",+380 (30) 177-37-82,oleksa18@example.com
Нестеренко,Емілія,Євгенович,Жінка,1990.10.30,Мікробіолог,село Верхньодніпровськ,"шосе Романтичний, буд. 7 кв. 62, Селидове, 53592",+380 (11) 385-00-99,ieroshenkoleonid@example.com
Дейнека,Богуслав,Антігонівна,Чоловік,2007.06.14,Ботанік,селище Білогірськ,"набережна Естонський, буд. 370 кв. 5, Брянка, 11949",+380 91 014-31-37,kharchenkoamaliia@example.com
Василечко,Олег,Глібівна,Чоловік,1974.07.23,Геолог,хутір Житомир,"узвіз Лінійна, буд. 9 кв. 1, Бахмач, 40000",+380 (64) 263-69-65,masokhaarsen@example.org
Базилевський,Прохір,Антонович,Чоловік,1975.01.16,Художник,село Тростянець,"площа Північний, буд. 60 кв. 1, Новоград-Волинський, 70673",+380 41 040 64 23,tymchenkosviatoslava@example.com
Рудик,Кирило,Несторович,Чоловік,1954.09.24,Кінолог,селище Шахтарськ,"провулок Степана Разіна, буд. 3 кв. 3, Першотравенськ, 17438",+380 91 604-29-30,pavloreva@example.com
Семенченко,Аврелій,Юстиніанівна,Чоловік,1970.07.12,Медик,місто Волноваха,"узвіз Крижанівський, буд. 5 кв. 09, Нова Каховка, 06533",649-45-91,daryna94@example.net
Піддубний,Павло,Захарівна,Чоловік,1971.04.08,Археолог,село Верхньодніпровськ,"вулиця Преображенська, буд. 4 кв. 739, Богуслав, 66289",719 62 22,prokhir63@example.org
Парасюк,Михайлина,Герасимівна,Жінка,1952.02.01,Музичний редактор,хутір Сорокине,"провулок Лиманчик 2-й Лінія 11-та, буд. 649, Куп'янськ, 95472",432-75-64,venedykt23@example.org
Захаренко,Валентина,Федосіївна,Жінка,1963.08.05,Продюсер,хутір Василівка ,"провулок Промисловий, буд. 51, Моршин, 61665",+380 (92) 048-74-48,odeineko@example.net
Іщак,Еріка,Дмитрович,Жінка,1981.03.21,Круп'є,місто Червоноград,"набережна Килимовий, буд. 4, Дружба , 53639",+380 66 060 20 64,marynatryhub@example.net
Вертипорох,Оксенія,Васильович,Жінка,1994.01.11,Парфюмер,селище Бахмач,"площа Карантинний узвіз, буд. 3 кв. 729, Гола Пристань, 24828",+380 20 915-57-66,somkohordii@example.com
Романець,Трохим,Антонович,Чоловік,1971.02.24,Психолог,селище Сіверськ,"узвіз Південно-Санаторний, буд. 32 кв. 11, Святогірськ, 73001",+380 (73) 984-94-96,edanko@example.com
Харченко,Данило,Глібівна,Чоловік,1969.03.23,Фотограф,селище Новоазовськ,"вулиця Слобідський узвіз, буд. 65, Зимогір'я, 87848",+380 (06) 821-36-61,rkhrystenko@example.net
Гузь,Мирон,Юрійович,Чоловік,1983.05.05,Електромонтер,село Олександрія,"парк Горбатий міст, буд. 06, Путивль, 87172",090 631-37-91,dteslia@example.org
Черненко,Устим,Варфоломійович,Чоловік,1973.12.02,Конструктор,село Кіцмань,"проспект Соляний 7-й, буд. 73, Лисичанськ, 65087",069 996-00-21,anita55@example.org
Яремко,Богуслав,Юріївна,Чоловік,1988.05.17,Публіцист,місто Гайсин,"набережна Мазепи Івана, буд. 70, Остер , 12072",089 710-21-73,ndatsenko@example.org
Матвієнко,Венедикт,Мартінівна,Чоловік,1997.07.18,Драматург,селище Городенка,"проспект Ветеранів праці, буд. 165 кв. 852, Мала Виска, 22205",+380 (42) 607-69-37,tovstolisodarka@example.org
Дуплій,Альбіна,Мстиславівна,Жінка,1970.07.16,Історик,хутір Львів,"узвіз Міцкевича, буд. 971 кв. 2, Шепетівка, 47961",899-92-90,znestaiko@example.net
Цимбал,Сніжана,Давидович,Жінка,1977.02.15,Водій,хутір Тараща,"набережна Бориса Дерев'янка, буд. 487, Вилкове, 95716",+380 49 359-28-14,petliuraihnat@example.net
Аронець,Ольга,Агапіївна,Жінка,1967.05.16,Мовознавець,місто Лутугине,"провулок Цементний, буд. 68 кв. 7, Славута, 05237",403-16-29,karpabohuslav@example.org
Голик,Анжела,Альбертівна,Жінка,1991.01.27,Фрілансер,хутір Гадяч,"сквер Чумацька, буд. 5, Ніжин, 70937",+380 (67) 240-82-28,hermaniatsenko@example.com
Чуйко,Захар,Філімонівна,Чоловік,1979.10.05,Кінорежисер,селище Козятин,"узвіз Сєченова, буд. 8 кв. 52, Буськ, 88611",070 045-62-66,mariia86@example.org
Рудик,Степан,Григоріївна,Чоловік,2007.02.28,Піаніст,місто Луцьк,"площа Миколаївська дорога, буд. 9 кв. 15, Євпаторія, 26447",093 386 97 64,pbevz@example.net
Охріменко,Леонід,Мстиславович,Чоловік,2004.05.13,Етнограф,хутір Турка,"проспект Серединський, буд. 50 кв. 02, Хотин, 16041",+380 14 227-11-07,ivanchenkozynovii@example.org
Гузенко,Артем,Юхимівна,Чоловік,1978.09.01,Секретар,хутір Старобільськ,"проспект Отамана Чепіги, буд. 9 кв. 70, Копичинці, 48279",624 08 29,pbabii@example.net
Шило,Прохір,Юхимович,Чоловік,1996.11.25,Провізор,хутір Ананьїв,"узвіз Бориса Дерев'янка, буд. 557 кв. 872, Гола Пристань, 45038",+380 75 280 22 83,ielysaveta67@example.org
Носаченко,Федір,Сергійович,Чоловік,1991.11.24,Водій,селище Нововолинськ,"площа Банний, буд. 17 кв. 2, Берислав, 84762",078 270-95-85,iustyna07@example.com
Тарасенко,Емілія,Євстахіївна,Жінка,2006.01.19,Вчитель,хутір Хрустальний,"площа Тролейбусна, буд. 726, Баранівка, 06867",950-68-13,klavdiiaandriichuk@example.net
Ванченко,Марта,Даніїлівна,Жінка,1971.09.15,Бібліограф,хутір Болград,"сквер Проектна 1-ша, буд. 1 кв. 118, Ізюм, 61233",039 658-74-08,vshvachko@example.org
Затовканюк,Тереза,Григоріївич,Жінка,1985.12.26,Кінокритик,хутір Чигирин,"вулиця Магнітогорський 2-й, буд. 80 кв. 98, Луганськ, 54329",128-99-83,venedyktrebryk@example.org
Швачка,Ада,Костянтинівна,Жінка,1963.08.15,Електрослюсар,хутір Чортків,"узвіз Золотий берег, буд. 08, Харків, 25432",069 138-91-46,tryhubiustym@example.com
Дубас,Іван,Семенівна,Чоловік,1998.12.01,Петрограф,хутір Хотин,"набережна Дача Ковалевського, буд. 6 кв. 8, Черкаси, 10393",+380 (92) 899-29-92,eduard14@example.net
Конопля,Зиновій,Іракліївна,Чоловік,1960.06.08,Науковець,село Яготин,"площа Чорноморський 13-й, буд. 63 кв. 1, Миколаївка , 50544",+380 (55) 262-36-92,tdubenko@example.com
Чуприна,Іван,Семенівна,Чоловік,1964.05.03,Фотограф,село Переяслав,"сквер 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 53, Барвінкове, 34990",021 654 58 94,dannapustovit@example.com
Батуринець,Мирон,Андронікович,Чоловік,2000.03.17,Співак,село Харцизьк,"сквер Набережна, буд. 4 кв. 9, Харків, 54199",+380 00 573 34 16,symonenkoedyta@example.net
Карась,Ростислав,Гаврилівна,Чоловік,2006.03.20,Журналіст,село Хотин,"проспект Проектна 1-ша, буд. 094, Шпола, 39578",+380 83 154-35-27,esvyrydenko@example.com
Височан,Стефан,Натанович,Чоловік,1992.01.08,Музикант,село Шаргород,"парк Газова, буд. 1, Звенигородка, 67104",085 028-74-32,biakymchuk@example.com
Сагаль,Альбіна,Андронімівна,Жінка,1976.10.30,Складальник,селище Дніпрорудне,"шосе Іванова Ігоря, буд. 277, Кролевець, 94719",+380 51 572 51 31,haidamakazynovii@example.com
Авраменко,Ярослава,Вікторівич,Жінка,1987.05.25,Головний меркшейдер,село Дунаївці,"узвіз Лідерсівський, буд. 36, Вільногірськ, 55072",579 67 67,iustyna51@example.net
Дейнека,Марʼяна,Олесьович,Жінка,1963.03.02,Різноробочий,місто Коростень,"набережна Ракетна, буд. 04 кв. 7, Скадовськ, 51975",+380 53 730-40-17,ielysei08@example.org
Василечко,Ярослава,Борисович,Жінка,1992.07.08,Драматург,місто Антрацит ,"провулок Щоглова, буд. 8, Погребище, 82439",138-05-29,jtryhub@example.net
Опанасенко,Онисим,Юрійович,Чоловік,1969.10.14,Публіцист,місто Скадовськ,"проспект Штильова, буд. 7, Вугледар, 73464",076 000 32 54,ustymmykhailychenko@example.net
Шеремет,Марко,Леонідович,Чоловік,1987.02.26,Патологоанатом,місто Заліщики,"сквер Гвоздична, буд. 672 кв. 8, Ізюм, 08233",340-07-58,vysochanklyment@example.net
Андрієнко,Пантелеймон,Лаврінівна,Чоловік,1969.04.15,Паблік рилейшнз,селище Родинське,"площа Листяна, буд. 9 кв. 705, Токмак, 84727",620-32-11,smykalina@example.org
Бгиденко,Богодар,Маркелівна,Чоловік,1986.11.26,Актор,село Благовіщенське,"проспект Дубова, буд. 789 кв. 9, Хрустальний, 28424",+380 90 252-42-71,zarkhymovych@example.com
Жаліло,Володимир,Герасимівна,Чоловік,1966.03.14,Менеджер,село Зеленодольськ,"проспект Умова, буд. 9, Карлівка, 22880",195 81 58,wvakhnii@example.net
Сомко,Аркадій,Антігонівна,Чоловік,2006.01.13,Живописець,місто Барвінкове,"узвіз Калинова, буд. 11, Лубни, 50959",+380 99 735-80-74,boleslav24@example.org
Палій,Данна,Силуанівна,Жінка,1998.11.19,Візажист,селище Токмак,"сквер Учнівська, буд. 525 кв. 25, Маріуполь, 71584",015 492-59-37,vhrechko@example.net
Щириця,Богуслава,Юріївна,Жінка,1979.11.27,Дизайнер,село Решетилівка,"парк Чапаєва 2-й, буд. 0, Ковель, 43229",+380 59 832-80-34,klymentchubai@example.org
Гайда,Вікторія,Семіонівна,Жінка,1981.08.06,Музикознавець,хутір Сєвєродонецьк,"парк Запорізька, буд. 6, Сорокине, 58658",533 69 44,biesypenko@example.org
Гайда,Пріска,Юліанівна,Жінка,1975.03.29,Адвокат,хутір Долинська,"провулок Балтський 6-й, буд. 782 кв. 55, Лутугине, 10286",007 227 65 26,leontii51@example.com
Ярош,Йосип,Антігонівна,Чоловік,1955.05.18,Петрограф,хутір Новий Розділ,"вулиця 7-ма Лінія Дачі Ковалевського, буд. 41 кв. 50, Токмак, 95980",+380 (17) 068-04-66,symonlytvynenko@example.org
Фесенко,Едуард,Корнеліївна,Чоловік,1973.12.09,Кінорежисер,хутір Баранівка,"провулок Гагаріна, буд. 40, Вільногірськ, 52615",+380 14 233 29 72,varfolomiizhuravel@example.net
Петрик,Ростислав,Мстиславівна,Чоловік,1986.09.26,Кур'єр,село Татарбунари,"сквер Сурикова, буд. 7 кв. 1, Ялта, 49412",+380 09 949 92 10,albina37@example.org
Масляк,Микита,Антінович,Чоловік,2007.09.01,Євнух,місто Апостолове,"проспект Висока, буд. 85 кв. 69, Авдіївка, 42340",074 021-93-05,nestaikobohodar@example.org
Гаврилюк,Йосип,Юхимівна,Чоловік,1955.05.08,Бібліотекар,місто Новгород-Сіверський,"сквер Отрада, буд. 9 кв. 81, Радивилів, 38258",+380 06 921-05-79,les79@example.com
Атаманюк,Євген,Юхимович,Чоловік,1957.08.27,Фермер,хутір Козятин,"вулиця Різовська, буд. 982 кв. 3, Перевальськ, 26123",321-12-00,uakulenko@example.net
Худяк,Ганна,Мстиславівна,Жінка,2005.11.07,Ґрунтознавець,місто Вознесенськ,"узвіз Наявний 1-й, буд. 1, Новодружеськ, 02741",093 058 98 42,echervonenko@example.org
Бабариченко,Розалія,Всеславівна,Жінка,1990.09.26,Ґрунтознавець,село Хрестівка,"вулиця 2-й Академічний тупик, буд. 3, Шаргород, 44849",+380 14 944 39 78,rostyslavtkach@example.org
